episode,global_step,rm_ready,rm_version,num_preferences,preference_sources,final_connected,final_num_components,final_largest_component_size,final_edge_count,final_inter_component_gap,final_coverage_score,final_overlap_ratio,became_connected,first_connected_step,lost_connectivity_events,actor_loss,critic_1_loss,critic_2_loss,mean_rm_reward,rm_loss,rm_pair_accuracy
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
25,13000,1,25,104,"{""qwen"": 104}",0,4,1247.643260088254,155.95540751103175,574.4562646538029,-1,-16.267528533935547,0.00508464640006423,0.005324635189026594,0.06734424829483032,0.5837589863936107,0.9090909090909091
26,13500,1,26,108,"{""qwen"": 108}",0,4,1216.9618716008706,152.12023395010883,574.4562646538029,-1,-16.846725463867188,0.010404516942799091,0.010379452258348465,0.12228167802095413,0.5711154663562774,0.9122807017543859
27,14000,1,27,112,"{""qwen"": 112}",0,4,1406.9137855457197,175.86422319321497,574.4562646538029,-1,-17.542634963989258,0.03979437053203583,0.037633348256349564,-0.1193738803267479,0.5636671578884125,0.8983050847457628
28,14500,1,28,116,"{""qwen"": 116}",0,5,1097.4342355270999,137.17927944088748,547.0613411342752,-1,-17.599973678588867,0.03642433509230614,0.015196203254163265,0.017815619707107544,0.5787624398867289,0.864406779661017
29,15000,1,29,120,"{""qwen"": 120}",0,5,1031.3042230862804,128.91302788578506,574.4562646538029,-1,-18.187314987182617,0.03894669562578201,0.010302814655005932,0.020657841116189957,0.6034552987416585,0.8833333333333333
30,15500,1,30,124,"{""qwen"": 124}",0,5,1081.9155815820495,135.2394476977562,574.4562646538029,-1,-18.421537399291992,0.01700223609805107,0.01699061319231987,0.12997135519981384,0.587100989818573,0.8852459016393442
31,16000,1,31,128,"{""qwen"": 128}",0,6,987.6970101075934,123.46212626344918,553.7337283677108,-1,-19.168867111206055,0.009731612168252468,0.032321251928806305,0.007733426988124847,0.589226158062617,0.8852459016393442
32,16500,1,32,132,"{""qwen"": 132}",0,6,970.2557364067428,121.28196705084285,545.9916676948143,-1,-19.321304321289062,0.014476514421403408,0.028432171791791916,-0.08768162131309509,0.5991053215662638,0.9016393442622951
33,17000,1,33,136,"{""qwen"": 136}",0,6,943.9114698556255,117.98893373195318,518.307382871297,-1,-19.619895935058594,6.043787479400635,6.039934158325195,0.04047860577702522,0.6087672909100851,0.8888888888888888
34,17500,1,34,140,"{""qwen"": 140}",0,6,998.7203333657314,124.84004167071643,574.4562646538029,-1,-20.34464454650879,0.014048145152628422,0.013871882110834122,0.08783905953168869,0.6020360322793324,0.859375
35,18000,1,35,144,"{""qwen"": 144}",0,6,998.7203333657314,124.84004167071643,574.4562646538029,-1,-21.167631149291992,0.051646217703819275,0.012410329654812813,0.13268694281578064,0.5935509447256724,0.875
36,18500,1,36,148,"{""qwen"": 148}",0,6,971.5166324245249,121.43957905306561,547.2525637125964,-1,-20.984813690185547,0.043630339205265045,0.01958678662776947,-0.21805158257484436,0.6026340981324514,0.875
37,19000,1,37,152,"{""qwen"": 152}",0,6,972.7288908212546,121.59111135265682,548.4648221093261,-1,-21.572372436523438,0.023180952295660973,0.009627587161958218,0.0222780704498291,0.5975886448224386,0.84375
38,19500,1,38,156,"{""qwen"": 156}",0,6,974.7539717038069,121.84424646297586,550.4899029918784,-1,-22.305133819580078,0.01122965756803751,0.009986136108636856,0.15554925799369812,0.6189219462871551,0.828125
39,20000,1,39,160,"{""qwen"": 160}",0,6,1004.0950768273403,125.51188460341754,574.4562646538029,-1,-22.578697204589844,0.017146321013569832,0.013109244406223297,0.03092384710907936,0.6075148785114288,0.8636363636363636
40,20500,1,40,164,"{""qwen"": 164}",0,6,944.8126721346048,118.1015840168256,520.5486034226763,-1,-22.40430450439453,0.022701608017086983,0.05819065868854523,-0.13945099711418152,0.611892993847529,0.8484848484848485
41,21000,1,41,168,"{""qwen"": 168}",0,6,896.2835566893789,112.03544458617236,472.0194879774504,-1,-22.809206008911133,0.009773578494787216,0.026108233258128166,-0.13646300137043,0.6208403046925862,0.8484848484848485
